Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_TS,Pickup_TS,Return_TS,City,Payment,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan,Driver_License,Notes,Customer_Feedback
RES-00001,C9935,CAR 03,Luxury,2026-03-22 13:01,23-03-2026 03:01,2026-03-24 18:01,Bengaluru,UPI,51255,51787,20 %,13.099377,81.4197,99,1,0,800,BOGUS99,40.0,840.0,standard,INVALID,scratch on door,
RES-00002,C7873,CAR-08 ,SUV,2026-01-25 09:32,28/01/2026 07:72,2026-02-05 02:32,blr,wallet,"31,422km","32,515 km",0.56,25.384,85.876208,44,1,0,2500/day,SAVE10,125.0,2625.0,standard,INVALID,,email test@gmail.com
RES-00003,C2674,CAR-03 ,Economy,2026-02-22 14:17,2026-02-24 10:17,2026-03-04 17:17,delhi,cash,30426,30529km,0.33,20.2031,72.97,164 kmh,5,0,₹2000/day,DISC15,,2100.0,premium,,Contact Rahul 9876543210,email test@gmail.com
RES-00004,C5803,CAR 27,SUV,2026-02-02 14:46,2026-02-03 01:46:00,2026-02-07 05:46,Chennai,wallet,75851,"77,113 km",0.26,16.305837,72.1939,124 kmh,4,0,2000/day,SAVE10,100.0,2100.0,standard,INVALID,,
RES-00005,C2654, CAR-13,Luxury,2026-01-07 19:42,2026-01-09 01:42,2026-01-10 01:42,kolkata,upi,"118,771km",120510km,90 %,17.39,80.88,143 kmh,4,0,3000,DISC15,150.0,3150.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00006,C3803,car-18,Compact,2026-02-17 01:13,17-02-2026 11:13,2026-02-24 21:13,HYD,Card,"74,026km",74062km,92 %,24.0562,84.0287,59,4,0,1500,SAVE10,,1575.0,eco,INVALID,,email test@gmail.com
RES-00007,C4752,CAR-27,SUV,2026-03-23 14:35,2026-03-23 22:35,2026-04-01 06:35,HYD,UPI,70308,"71,629 km",26 %,21.351648,84.18,162 kmh,0,0,3000,DISC15,150.0,3150.0,eco,,,email test@gmail.com
RES-00008,C8517, CAR-05,Compact,2026-01-26 15:56,28-01-2026 18:56,2026-02-03 05:56,mumbai,wallet,"99,008 km",100281km,19%,17.660388,81.61,153 kmh,4,0,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium,DL12345,,good service
RES-00009,C9348,CAR-16,Economy,2026-03-15 19:57,16/03/2026 13:57,2026-03-19 01:57,blr,wallet,66426km,"66,827 km",0.2,22.6398,76.5712,143 kmh,0,0,1500,SAVE10,75.0,1575.0,standard,DL12345,,
RES-00010,C9669,CAR 09,Economy,2026-01-19 09:27,21/01/2026 21:27,2026-01-26 02:27,Kolkata,wallet,13741km,14802km,75%,20.013764,74.066183,170 kmh,5,1,1200/day,BOGUS99,60.0,1260.0,standard,INVALID,,good service
RES-00011,C8433, CAR-01,Compact,2026-03-09 11:49,10-03-2026 08:49,2026-03-15 03:49,Chennai,wallet,110641km,112571km,0.59,14.693,72.498048,166 kmh,5,1,₹800/day,SAVE10,40.0,840.0,standard,INVALID,,email test@gmail.com
RES-00012,C9837,CAR 25,Economy,2026-02-07 23:32,08/02/2026 20:32,2026-02-12 23:32,CHENNAI,card,"104,187km",104770,0.45,13.5785,75.08,64,6,1,"₹ 2,500 /day",,125.0,2625.0,premium,INVALID,,email test@gmail.com
RES-00013,C1949,CAR 08,Economy,2026-01-01 20:59,03-01-2026 03:59,2026-01-06 13:59,BENGALURU,UPI,"33,001 km",34356,92%,27.707616,86.77,69,2,0,800,SAVE10,40.0,840.0,standard,,,email test@gmail.com
RES-00014,C9645,CAR 28,Luxury,2026-03-08 18:08,2026-03-10 04:08:00,2026-03-12 02:08,Mumbai,wallet,55001,"56,697km",37%,26.94,75.7691,86,5,0,1200/day,BOGUS99,,1260.0,eco,DL12345,scratch on door,good service
RES-00015,C2982,car-08,Economy,2026-02-07 02:42,09-02-2026 12:42,2026-02-15 04:42,Delhi,cash,"20,603 km",21535km,0.95,15.647984,85.24,165 kmh,2,0,3000/day,DISC15,,3150.0,standard,,,good service
RES-00016,C1514, CAR-28,Economy,2026-03-11 22:37,2026-03-12 07:63,2026-03-14 21:37,Chennai,Card,"119,415km","121,062 km",65 %,24.9587,81.294799,124 kmh,3,0,800/day,SAVE10,40.0,840.0,eco,INVALID,scratch on door,
RES-00017,C4981,CAR-26 ,Luxury,2026-03-25 02:13,27/03/2026 15:13,2026-04-02 21:13,Mumbai,UPI,"46,151 km","46,803km",0.55,19.4,77.64,60,4,1,2500,DISC15,125.0,2625.0,standard,,Contact Rahul 9876543210,good service
